"AllAutomotive and Parts MfgTravel, Transportation and Tourism",11,,,,,,,
Telecommunications Services Advertising and PR Services Business Services - Other,11,,,,,,,
Computer Hardware Computer Software Computer/IT Services,11,,,,,,,
Real Estate/Property ManagementConstruction - Residential & Commercial/Office,11,,,,,,,
Advertising and PR ServicesBusiness Services - OtherOther/Not Classified,11,,,,,,,
"Broadcasting, Music, and Film",10,,,,,,,
AllComputer SoftwareComputer/IT Services,10,,,,,,,
Advertising and PR ServicesBusiness Services - Other,9,,,,,,,
Full Time Employee,9,,,,,,,
Biotechnology/PharmaceuticalsHealthcare ServicesMedical Devices and Supplies,9,,,,,,,
RetailAutomotive Sales and Repair Services,9,,,,,,,
Healthcare Services Business Services - Other Other/Not Classified,9,,,,,,,
"Chicago, IL",9,,,,,,,
RetailRestaurant/Food ServicesFood and Beverage Production,8,,,,,,,
CNH Industrial,8,,,,,,,
Retail Advertising and PR Services Business Services - Other,8,,,,,,,
AllEnergy and UtilitiesBusiness Services - Other,8,,,,,,,
InsuranceFinancial Services,8,,,,,,,
Rental Services,8,,,,,,,
Altec Industries,8,,,,,,,
EducationHealthcare Services,7,,,,,,,
Retail;Advertising and PR Services;Business Services - Other,7,,,,,,,
"Cincinnati, OH",7,,,,,,,
"Houston, TX",7,,,,,,,
BankingFinancial Services,7,,,,,,,
Construction - Industrial Facilities and Infrastructure; Engineering Services,7,,,,,,,
RetailManagement Consulting ServicesBusiness Services - Other,6,,,,,,,
Marine Mfg & Services,6,,,,,,,
AllComputer HardwareComputer Software,6,,,,,,,
Business Services - OtherOther/Not Classified,6,,,,,,,
"Redmond, WA",6,,,,,,,
Restaurant/Food ServicesFood and Beverage Production,5,,,,,,,
InsuranceSecurity and Surveillance,5,,,,,,,
"Plano, TX",5,,,,,,,
"San Jose, CA 95134",5,,,,,,,
"Travel, Transportation and TourismTransport and Storage - Materials Automotive Sales and Repair Services",5,,,,,,,
Healthcare Services Sports and Physical Recreation,5,,,,,,,
Industrial/Manufacturing Engineering,5,,,,,,,
Retail Advertising and PR Services Other/Not Classified,5,,,,,,,
RetailAdvertising and PR Services,5,,,,,,,
Rental ServicesBusiness Services - OtherOther/Not Classified,5,,,,,,,
Healthcare ServicesNonprofit Charitable OrganizationsOther/Not Classified,5,,,,,,,
Retail; Advertising and PR Services; Restaurant/Food Services,5,,,,,,,
Energy and Utilities Manufacturing - Other Business Services - Other,5,,,,,,,
Healthcare Services Business Services - Other,5,,,,,,,
RetailComputer/IT Services,5,,,,,,,
AllInsuranceOther/Not Classified,5,,,,,,,
Biotechnology/PharmaceuticalsHealthcare ServicesStaffing/Employment Agencies,5,,,,,,,
Hotels and Lodging Other/Not Classified,4,,,,,,,
InsuranceHealthcare Services,4,,,,,,,
Automotive and Parts MfgManufacturing - OtherEngineering Services,4,,,,,,,
"Abbott Park, IL 60064",4,,,,,,,
Valmont Industries Inc.,4,,,,,,,
Internet ServicesTelecommunications ServicesBusiness Services - Other,4,,,,,,,
AllAdvertising and PR ServicesBusiness Services - Other,4,,,,,,,
Biotechnology/PharmaceuticalsHealthcare Services,4,,,,,,,
Real Estate/Property ManagementRental ServicesConstruction - Residential & Commercial/Office,4,,,,,,,
Telecommunications ServicesAdvertising and PR ServicesBusiness Services - Other,4,,,,,,,
RetailRental ServicesRestaurant/Food Services,4,,,,,,,
Biotechnology/Pharmaceuticals; Consumer Packaged Goods Manufacturing; Food and Beverage Production,4,,,,,,,
Advertising and PR ServicesManagement Consulting ServicesOther/Not Classified,4,,,,,,,
Healthcare ServicesMedical Devices and Supplies,4,,,,,,,
Telecommunications ServicesBusiness Services - OtherOther/Not Classified,4,,,,,,,
BankingAccounting and Auditing ServicesFinancial Services,4,,,,,,,
"Atlanta, GA",4,,,,,,,
Legal Services Government and Military,4,,,,,,,
"San Antonio, TX 78205",3,,,,,,,
Manufacturing - OtherMedical Devices and Supplies,3,,,,,,,
"Foster City, CA 94404",3,,,,,,,
Healthcare ServicesNonprofit Charitable OrganizationsMedical Devices and Supplies,3,,,,,,,
"Automotive and Parts MfgElectronics, Components, and Semiconductor MfgManufacturing - Other",3,,,,,,,
Clothing and Textile Manufacturing,3,,,,,,,
AllRetailBusiness Services - Other,3,,,,,,,
Wholesale Trade/Import-ExportAdvertising and PR ServicesBusiness Services - Other,3,,,,,,,
Consumer Packaged Goods ManufacturingFood and Beverage Production,3,,,,,,,
AllInsuranceGovernment and Military,3,,,,,,,
Healthcare ServicesStaffing/Employment Agencies,3,,,,,,,
All; Construction - Residential & Commercial/Office; Engineering Services,3,,,,,,,
"Irving, TX",3,,,,,,,
RetailAdvertising and PR ServicesRestaurant/Food Services,3,,,,,,,
"Warren, IL 60064",3,,,,,,,
Advertising and PR ServicesManagement Consulting ServicesRestaurant/Food Services,3,,,,,,,
Biotechnology/PharmaceuticalsBusiness Services - OtherMedical Devices and Supplies,3,,,,,,,
AllAutomotive Sales and Repair ServicesBusiness Services - Other,3,,,,,,,
Restaurant/Food ServicesFood and Beverage ProductionOther/Not Classified,3,,,,,,,
"Electronics, Components, and Semiconductor MfgManufacturing - Other",3,,,,,,,
BankingFinancial ServicesMedical Devices and Supplies,3,,,,,,,
Construction - Industrial Facilities and InfrastructureReal Estate/Property ManagementConstruction - Residential & Commercial/Office,3,,,,,,,
"Northbrook, IL 60062",3,,,,,,,
Healthcare ServicesComputer/IT Services,3,,,,,,,
"Columbus, OH",3,,,,,,,
Aerospace and DefenseGovernment and Military,3,,,,,,,
Business Services - OtherConstruction - Residential & Commercial/Office,3,,,,,,,
Advertising and PR Services Business Services - Other,3,,,,,,,
RetailTelecommunications ServicesComputer/IT Services,3,,,,,,,
Transport and Storage - Materials Waste Management,3,,,,,,,
Automotive and Parts Mfg;Automotive Sales and Repair Services,3,,,,,,,
Advertising and PR ServicesOther/Not Classified,3,,,,,,,
"Travel, Transportation and TourismLegal Services",3,,,,,,,
Manufacturing - OtherPrinting and Publishing,3,,,,,,,
"Denver, CO",3,,,,,,,
"Overland Park, KS",3,,,,,,,
Biotechnology/PharmaceuticalsMedical Devices and Supplies,3,,,,,,,
Real Estate/Property Management;Hotels and Lodging;Personal and Household Services,3,,,,,,,
RetailBankingFinancial Services,3,,,,,,,
"AllTravel, Transportation and TourismTransport and Storage - Materials",3,,,,,,,
Restaurant/Food Services Food and Beverage Production,3,,,,,,,
  •   Healthcare Services,3,,,,,,,
"San Francisco, CA",3,,,,,,,
"Morrisville, NC 27709",3,,,,,,,
"Omaha, NE",2,,,,,,,
RetailComputer SoftwareBusiness Services - Other,2,,,,,,,
Automotive and Parts Mfg Manufacturing - Other Automotive Sales and Repair Services,2,,,,,,,
"San Antonio, TX",2,,,,,,,
Manufacturing - OtherHealthcare ServicesMedical Devices and Supplies,2,,,,,,,
"Arcadia, WI 54612",2,,,,,,,
Manufacturing - Other; Wholesale Trade/Import-Export,2,,,,,,,
Advertising and PR Services Management Consulting Services Other/Not Classified,2,,,,,,,
Clothing and Textile ManufacturingRetail,2,,,,,,,
AllTelecommunications ServicesAutomotive Sales and Repair Services,2,,,,,,,
Energy and UtilitiesWaste Management,2,,,,,,,
"City Of Industry, CA 91744",2,,,,,,,
Real Estate/Property ManagementNonprofit Charitable Organizations,2,,,,,,,
AllRetailInsurance,2,,,,,,,
Hotels and Lodging Personal and Household Services,2,,,,,,,
RetailRestaurant/Food ServicesOther/Not Classified,2,,,,,,,
Construction - Industrial Facilities and InfrastructureRetailConstruction - Residential & Commercial/Office,2,,,,,,,
AllRetailTransport and Storage - Materials,2,,,,,,,
Restaurant/Food Services;Food and Beverage Production;Other/Not Classified,2,,,,,,,
"AllTravel, Transportation and TourismBusiness Services - Other",2,,,,,,,
Healthcare ServicesFinancial Services,2,,,,,,,
"Northbrook, IL",2,,,,,,,
BankingReal Estate/Property ManagementRental Services,2,,,,,,,
RetailManagement Consulting ServicesOther/Not Classified,2,,,,,,,
Ware Industries,2,,,,,,,
Automotive and Parts MfgTransport and Storage - Materials Automotive Sales and Repair Services,2,,,,,,,
"Coppell, TX",2,,,,,,,
A & E Network,2,,,,,,,
"Hebron, IL 60034",2,,,,,,,
Architectural and Design Services; Construction - Residential & Commercial/Office; Engineering Services,2,,,,,,,
Healthcare ServicesNonprofit Charitable Organizations,2,,,,,,,
"Hillsboro, OR 97124",2,,,,,,,
Consumer Packaged Goods Manufacturing; Manufacturing - Other; Food and Beverage Production,2,,,,,,,
"Sacramento, CA",2,,,,,,,
AllManufacturing - OtherOther/Not Classified,2,,,,,,,
"Columbus, OH 43215",2,,,,,,,
Insurance; Financial Services,2,,,,,,,
"Newark, DE",2,,,,,,,
"Milpitas, CA 95035",2,,,,,,,
Management Consulting ServicesComputer/IT Services,2,,,,,,,
"Mcminnville, OR 97128",2,,,,,,,
Metals and MineralsManufacturing - Other,2,,,,,,,
"Ernie Green Industries, Inc.",2,,,,,,,
"El Dorado Hills, CA",2,,,,,,,
"New Braunfels, TX",2,,,,,,,
Energy and UtilitiesBusiness Services - Other,2,,,,,,,
InsuranceAccounting and Auditing ServicesFinancial Services,2,,,,,,,
Real Estate/Property ManagementOther/Not Classified,2,,,,,,,
"Washington, DC 20001",2,,,,,,,
RetailTransport and Storage - Materials Other/Not Classified,2,,,,,,,
Real Estate/Property ManagementBusiness Services - Other,2,,,,,,,
Metals and MineralsManufacturing - OtherArchitectural and Design Services,2,,,,,,,
Construction - Industrial Facilities and InfrastructureConstruction - Residential & Commercial/OfficeEngineering Services,2,,,,,,,
Real Estate/Property ManagementManagement Consulting Services,2,,,,,,,
Healthcare Services Restaurant/Food Services Other/Not Classified,2,,,,,,,
"Chicago, IL 60606",2,,,,,,,
Manufacturing - Other;Engineering Services,2,,,,,,,
"Santa Clara, CA",2,,,,,,,
"Cottage Grove, MN 55016",2,,,,,,,
Energy and Utilities; Engineering Services,2,,,,,,,
"Oklahoma City, OK",2,,,,,,,
AllManagement Consulting ServicesBusiness Services - Other,2,,,,,,,
Retail Banking Business Services - Other,2,,,,,,,
Signal Metal Industries,2,,,,,,,
"Raleigh, NC 27607",2,,,,,,,
"Austin, TX",2,,,,,,,
"Dallas, TX 75202",2,,,,,,,
Goodwill Industries,2,,,,,,,
RetailOther/Not Classified,2,,,,,,,
Management Consulting Services Legal Services,2,,,,,,,
Accounting and Auditing ServicesBusiness Services - OtherFinancial Services,2,,,,,,,
Bisco Industries,2,,,,,,,
InsuranceOther/Not Classified,2,,,,,,,
Energy and Utilities; Construction - Industrial Facilities and Infrastructure; Construction - Residential & Commercial/Office,2,,,,,,,
RetailComputer HardwareComputer/IT Services,2,,,,,,,
"Eden Prairie, MN",2,,,,,,,
Energy and Utilities; Aerospace and Defense; Engineering Services,2,,,,,,,
RetailRestaurant/Food Services,2,,,,,,,
"Houston, TX 77055",2,,,,,,,
Healthcare ServicesStaffing/Employment AgenciesComputer/IT Services,2,,,,,,,
Retail;Advertising and PR Services;Sports and Physical Recreation,2,,,,,,,
BankingStaffing/Employment AgenciesFinancial Services,2,,,,,,,
"New York, NY",2,,,,,,,
Personal and Household Services; Construction - Residential & Commercial/Office; Other/Not Classified,2,,,,,,,
"Lake Forest, IL",2,,,,,,,
"Raynham, MA 02767",2,,,,,,,
Manufacturing - Other;Food and Beverage Production,2,,,,,,,
RetailTelecommunications ServicesAdvertising and PR Services,2,,,,,,,
"Saint Paul, MN",2,,,,,,,
"Kentwood, MI 49508",1,,,,,,,
AllInsuranceReal Estate/Property Management,1,,,,,,,
"Basking Ridge, NJ",1,,,,,,,
"North Bend, WA 98160",1,,,,,,,
"Round Lake, IL 60073",1,,,,,,,
Advertising and PR ServicesSports and Physical RecreationBusiness Services - Other,1,,,,,,,
"Jernberg Industries, Inc.",1,,,,,,,
Telecommunications Services; Engineering Services,1,,,,,,,
Retail Telecommunications Services Business Services - Other,1,,,,,,,
"Elk Grove Village, IL",1,,,,,,,
"Beaverton, OR 97006",1,,,,,,,
US_EN_8_33768_43833905,1,,,,,,,
Banking; Real Estate/Property Management; Financial Services,1,,,,,,,
Accounting and Auditing ServicesHealthcare ServicesFinancial Services,1,,,,,,,
Automotive and Parts Mfg; Manufacturing - Other; Retail,1,,,,,,,
"Grayslake, IL",1,,,,,,,
"Round Rock, TX 78682",1,,,,,,,
"Bernards, NJ",1,,,,,,,
Computer SoftwareBusiness Services - OtherEngineering Services,1,,,,,,,
Education; Other/Not Classified,1,,,,,,,
AllRetailRestaurant/Food Services,1,,,,,,,
Telecommunications ServicesConstruction - Residential & Commercial/Office,1,,,,,,,
Aerospace and DefenseGovernment and MilitaryOther/Not Classified,1,,,,,,,
Accounting and Auditing Services Business Services - Other Financial Services,1,,,,,,,
Coast Tool Industrial Solutions,1,,,,,,,
Manufacturing - OtherTransport and Storage - Materials Food and Beverage Production,1,,,,,,,
Aerospace and Defense Legal Services,1,,,,,,,
Retail;Advertising and PR Services;Management Consulting Services,1,,,,,,,
"Falls Church, VA 22042",1,,,,,,,
Wholesale Trade/Import-ExportRetailOther/Not Classified,1,,,,,,,
"Travel, Transportation and Tourism Healthcare Services Other/Not Classified",1,,,,,,,
Internet ServicesTelecommunications ServicesComputer/IT Services,1,,,,,,,
Construction - Industrial Facilities and Infrastructure; Construction - Residential & Commercial/Office,1,,,,,,,
Management Consulting ServicesComputer Software,1,,,,,,,
Government and MilitarySecurity and SurveillanceEngineering Services,1,,,,,,,
"Aerospace and Defense; Travel, Transportation and Tourism",1,,,,,,,
"Chicago, IL 60603",1,,,,,,,
"Chamblee, GA 30326",1,,,,,,,
Agriculture/Forestry/FishingWholesale Trade/Import-ExportBusiness Services - Other,1,,,,,,,
Healthcare Services; Nonprofit Charitable Organizations; Personal and Household Services,1,,,,,,,
"Vernon Hills, IL 60061",1,,,,,,,
Construction - Industrial Facilities and Infrastructure Real Estate/Property Management Government and Military,1,,,,,,,
"Mill Valley, CA",1,,,,,,,
Accounting and Auditing ServicesAdvertising and PR ServicesComputer Software,1,,,,,,,
Computer SoftwareHealthcare ServicesBusiness Services - Other,1,,,,,,,
"Minnetonka, MN",1,,,,,,,
Engineering ServicesFood and Beverage Production,1,,,,,,,
"Wilmington, DE 19803",1,,,,,,,
Industrial/Manufacturing EngineeringGeneral/Other: EngineeringSystems/Process Engineering,1,,,,,,,
"Rockford, IL 61101",1,,,,,,,
"Boston, MA 94501",1,,,,,,,
"Consumer Packaged Goods ManufacturingElectronics, Components, and Semiconductor Mfg",1,,,,,,,
"Charlotte, NC",1,,,,,,,
Advertising and PR ServicesRestaurant/Food ServicesOther/Not Classified,1,,,,,,,
Engineering ServicesMedical Devices and Supplies,1,,,,,,,
RetailFood and Beverage Production,1,,,,,,,
Management Consulting Services; Computer Hardware; Business Services - Other,1,,,,,,,
"Richardson, TX 75082",1,,,,,,,
AllAutomotive and Parts MfgManufacturing - Other,1,,,,,,,
Industrial/Manufacturing EngineeringGeneral/Other: Engineering,1,,,,,,,
"Warren, IL",1,,,,,,,
RetailFinancial Services,1,,,,,,,
AllInsuranceHealthcare Services,1,,,,,,,
Aerospace and Defense; Computer/IT Services; Engineering Services,1,,,,,,,
Performing and Fine Arts,1,,,,,,,
Waste ManagementComputer/IT Services,1,,,,,,,
InsuranceReal Estate/Property ManagementFinancial Services,1,,,,,,,
Accounting and Auditing ServicesHealthcare ServicesGovernment and Military,1,,,,,,,
Retail; Advertising and PR Services,1,,,,,,,
Bruker,1,,,,,,,
"Travel, Transportation and Tourism; Government and Military",1,,,,,,,
Computer SoftwareFinancial Services,1,,,,,,,
AllReal Estate/Property ManagementRental Services,1,,,,,,,
Retail;Telecommunications Services;Advertising and PR Services,1,,,,,,,
Telecommunications ServicesRestaurant/Food ServicesBusiness Services - Other,1,,,,,,,
Management Consulting ServicesComputer SoftwareEngineering Services,1,,,,,,,
Walter Industrial and Sanitary Supply,1,,,,,,,
PPG Industries,1,,,,,,,
Biotechnology/Pharmaceuticals; Healthcare Services; Medical Devices and Supplies,1,,,,,,,
"Chicago Heights, IL 60411",1,,,,,,,
RetailBusiness Services - OtherComputer/IT Services,1,,,,,,,
"Marlborough, MA 01752",1,,,,,,,
Manufacturing - OtherArchitectural and Design ServicesConstruction - Residential & Commercial/Office,1,,,,,,,
Construction - Industrial Facilities and InfrastructureConstruction - Residential & Commercial/OfficeOther/Not Classified,1,,,,,,,
Computer HardwareOther/Not Classified,1,,,,,,,
"Arkwin Industries, Inc.",1,,,,,,,
"Round Rock, TX",1,,,,,,,
Management Consulting ServicesSports and Physical RecreationBusiness Services - Other,1,,,,,,,
"Consumer Packaged Goods ManufacturingTravel, Transportation and TourismHotels and Lodging",1,,,,,,,
AllInsurance,1,,,,,,,
Biotechnology/Pharmaceuticals; Chemicals/Petro-Chemicals; Engineering Services,1,,,,,,,
"Folsom, CA 95762",1,,,,,,,
Education Healthcare Services Sports and Physical Recreation,1,,,,,,,
Computer SoftwareEducationComputer/IT Services,1,,,,,,,
AllConsumer Packaged Goods ManufacturingManufacturing - Other,1,,,,,,,
Insurance Healthcare Services,1,,,,,,,
"Dallas, TX 75201",1,,,,,,,
Construction - Industrial Facilities and InfrastructureHealthcare Services,1,,,,,,,
RetailTelecommunications ServicesManagement Consulting Services,1,,,,,,,
MPW Industrial Services,1,,,,,,,
"Scottsdale, AZ 85260",1,,,,,,,
"Travel, Transportation and TourismInsuranceAutomotive Sales and Repair Services",1,,,,,,,
BankingReal Estate/Property ManagementAccounting and Auditing Services,1,,,,,,,
"Simi Valley, CA 93065",1,,,,,,,
Accounting and Auditing ServicesFood and Beverage Production,1,,,,,,,
"Raritan, NJ",1,,,,,,,
"General Manager, Training, Manager, Management, Operations, Retail",1,,,,,,,
"Redmond, WA 98052",1,,,,,,,
Biotechnology/Pharmaceuticals; Manufacturing - Other; Medical Devices and Supplies,1,,,,,,,
Aire-Flo Industries,1,,,,,,,
"Redwood City, CA 94063",1,,,,,,,
Automotive and Parts MfgManufacturing - OtherAutomotive Sales and Repair Services,1,,,,,,,
Banking Business Services - Other,1,,,,,,,
"Minneapolis, MN 55428",1,,,,,,,
"West Milwaukee, WI",1,,,,,,,
"Omaha, NE 68124",1,,,,,,,
Internet Services Other/Not Classified,1,,,,,,,
AllInsuranceAutomotive Sales and Repair Services,1,,,,,,,
Computer SoftwareHealthcare ServicesComputer/IT Services,1,,,,,,,
"Montague, MI",1,,,,,,,
Accounting and Auditing ServicesNonprofit Charitable Organizations,1,,,,,,,
Real Estate/Property ManagementLegal ServicesConstruction - Residential & Commercial/Office,1,,,,,,,
Telecommunications Services Computer/IT Services,1,,,,,,,
"Houston, TX 77002",1,,,,,,,
Biotechnology/Pharmaceuticals; Engineering Services,1,,,,,,,
"New York, NY 10019",1,,,,,,,
"Electronics, Components, and Semiconductor MfgSecurity and SurveillanceEngineering Services",1,,,,,,,
"Electronics, Components, and Semiconductor MfgSecurity and SurveillanceComputer/IT Services",1,,,,,,,
"Largo, FL 33773",1,,,,,,,
Accounting and Auditing ServicesStaffing/Employment AgenciesFinancial Services,1,,,,,,,
"Sunnyvale, CA 94086",1,,,,,,,
"Highland Park, TX",1,,,,,,,
Computer/IT Services Other/Not Classified,1,,,,,,,
"Electronics, Components, and Semiconductor MfgComputer SoftwareSecurity and Surveillance",1,,,,,,,
Retail; Personal and Household Services; Medical Devices and Supplies,1,,,,,,,
"Pasadena, TX 77502",1,,,,,,,
"Foster City, CA",1,,,,,,,
Manufacturing - OtherTransport and Storage - Materials,1,,,,,,,
Chemicals/Petro-ChemicalsTransport and Storage - Materials,1,,,,,,,
"Travel, Transportation and TourismHotels and LodgingFood and Beverage Production",1,,,,,,,
Telecommunications Services; Computer/IT Services,1,,,,,,,
Insurance Healthcare Services Nonprofit Charitable Organizations,1,,,,,,,
Consumer Packaged Goods ManufacturingManufacturing - Other,1,,,,,,,
Staffing/Employment AgenciesOther/Not Classified,1,,,,,,,
BankingComputer/IT Services,1,,,,,,,
Ultra Industries,1,,,,,,,
Printing and Publishing Internet Services,1,,,,,,,
"Jacksonville, FL 32256",1,,,,,,,
Transport and Storage - Materials Other/Not Classified,1,,,,,,,
Printing and Publishing Architectural and Design ServicesConstruction - Residential & Commercial/Office,1,,,,,,,
Construction - Industrial Facilities and InfrastructureChemicals/Petro-ChemicalsAutomotive Sales and Repair Services,1,,,,,,,
"Des Plaines, IL",1,,,,,,,
Healthcare ServicesRestaurant/Food Services,1,,,,,,,
"Tigard, OR",1,,,,,,,
AllAccounting and Auditing ServicesConstruction - Residential & Commercial/Office,1,,,,,,,
"Charlotte, NC 28202",1,,,,,,,
"Tifco Industries, Inc.",1,,,,,,,
Government and MilitaryOther/Not Classified,1,,,,,,,
"Weir, TX",1,,,,,,,
InsuranceBusiness Services - OtherFinancial Services,1,,,,,,,
BankingNonprofit Charitable OrganizationsFinancial Services,1,,,,,,,
"Neptune Beach, FL",1,,,,,,,
AllManufacturing - OtherFood and Beverage Production,1,,,,,,,
"Energy and Utilities; Electronics, Components, and Semiconductor Mfg; Government and Military",1,,,,,,,
Rental ServicesAutomotive Sales and Repair Services,1,,,,,,,
Automotive and Parts MfgAutomotive Sales and Repair Services,1,,,,,,,
Restaurant/Food Services Other/Not Classified,1,,,,,,,
"Beaverton, OR",1,,,,,,,
Advertising and PR Services Business Services - Other Other/Not Classified,1,,,,,,,
"Marvin, NC 28277",1,,,,,,,
"Cleveland, OH",1,,,,,,,
Computer/IT ServicesFood and Beverage Production,1,,,,,,,
All;Advertising and PR Services;Business Services - Other,1,,,,,,,
RetailHealthcare ServicesMedical Devices and Supplies,1,,,,,,,
"Princeton, NJ 08543",1,,,,,,,
"Eden Prairie, MN 55344",1,,,,,,,
Hotels and LodgingEntertainment Venues and TheatersFood and Beverage Production,1,,,,,,,
"Northlake, IL 60164",1,,,,,,,
"Santa Clara, CA 95054",1,,,,,,,
"Wichita, KS",1,,,,,,,
Computer SoftwareBusiness Services - OtherComputer/IT Services,1,,,,,,,
Energy and Utilities Education,1,,,,,,,
"Roseville, CA",1,,,,,,,
Real Estate/Property ManagementConstruction - Residential & Commercial/OfficeEngineering Services,1,,,,,,,
Wholesale Trade/Import-ExportAdvertising and PR Services,1,,,,,,,
"Milwaukee, WI 53224",1,,,,,,,
Metals and Minerals; Biotechnology/Pharmaceuticals; Chemicals/Petro-Chemicals,1,,,,,,,
Accounting and Auditing Services Healthcare Services,1,,,,,,,
"Manufacturing - OtherTravel, Transportation and TourismOther/Not Classified",1,,,,,,,
Real Estate/Property ManagementConstruction - Residential & Commercial/OfficeOther/Not Classified,1,,,,,,,
RetailFood and Beverage ProductionOther/Not Classified,1,,,,,,,
"Jersey City, NJ",1,,,,,,,
Restaurant/Food ServicesEntertainment Venues and Theaters,1,,,,,,,
All;Healthcare Services,1,,,,,,,
Healthcare ServicesComputer/IT ServicesMedical Devices and Supplies,1,,,,,,,
Legal ServicesBusiness Services - Other,1,,,,,,,
"Elk Grove Village, IL 60016",1,,,,,,,
"Dayton, OH 45431",1,,,,,,,
"Lake Aluma, OK",1,,,,,,,
"Atlanta, GA 30301",1,,,,,,,
Automotive and Parts MfgEngineering Services,1,,,,,,,
Metals and MineralsConstruction - Industrial Facilities and InfrastructureManufacturing - Other,1,,,,,,,
Automotive and Parts MfgArchitectural and Design ServicesAutomotive Sales and Repair Services,1,,,,,,,
RetailBusiness Services - Other,1,,,,,,,
"Madison, WI",1,,,,,,,
Manufacturing - OtherTransport and Storage - Materials Business Services - Other,1,,,,,,,
"Houston, TX 77236",1,,,,,,,
Energy and UtilitiesRetailManagement Consulting Services,1,,,,,,,
Advertising and PR Services Entertainment Venues and Theaters Other/Not Classified,1,,,,,,,
"Harrisburg, NC 28262",1,,,,,,,
Bruker Daltonics,1,,,,,,,
Printing and Publishing Internet ServicesAdvertising and PR Services,1,,,,,,,
RetailBusiness Services - OtherOther/Not Classified,1,,,,,,,
Voss Industries,1,,,,,,,
Advertising and PR Services Sports and Physical Recreation Business Services - Other,1,,,,,,,
"Hoboken, NJ 07030",1,,,,,,,
Hotels and LodgingRestaurant/Food ServicesFood and Beverage Production,1,,,,,,,
Chemicals/Petro-Chemicals; Manufacturing - Other; Other/Not Classified,1,,,,,,,
"Madison, WI 53719",1,,,,,,,
All; Manufacturing - Other,1,,,,,,,
"Springfield, VA",1,,,,,,,
"Spring House, PA 19477",1,,,,,,,
Biotechnology/PharmaceuticalsAccounting and Auditing ServicesComputer Software,1,,,,,,,
AllStaffing/Employment AgenciesBusiness Services - Other,1,,,,,,,
