Administrative SupportData Entry/Order ProcessingGeneral/Other: Administrative/Clerical,2,,,,,,,
Equipment Install/Maintain/RepairFacilities Management/MaintenanceHVAC,2,,,,,,,
Equipment Install/Maintain/RepairFacilities Management/MaintenanceGeneral/Other: Installation/Maintenance/Repair,1,,,,,,,
Property Management,1,,,,,,,
"High level of responsiveness and exceptional customer service. Self-motivated individual who has the adaptability to work effectively as part of a team and as an individual; possesses a ‘whatever it takes’ philosophy. Ability to work effectively in a fast-paced environment. Strong attention to detail. Effective and professional oral and written communication skills. Bachelor's degree in a business field is preferred. Intermediate knowledge of Microsoft Office products. Experience with Oracle Projects desired. Working conditions: Work is performed in a normal office setting with minimal exposure to health or safety hazards. Substantial time is spent working on a computer.  Light physical effort is required, including the handling of average-weight objects up to 10 pounds and some standing, walking, sitting, reaching, talking, hearing, grasping, lifting, etc.  Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions.  Environment can be demanding and fast paced. Work schedule is generally 40 hours a week, but hours could exceed 40 hours based on demands.  Perficient full-time employees receive complete and competitive benefits. We offer a collaborative work environment, competitive compensation, generous work/life opportunities and an outstanding benefits package that includes paid time off plus holidays. In addition, all colleagues are eligible for a number of rewards and recognition programs including billable bonus opportunities. Encouraging a healthy work/life balance and providing our colleagues great benefits are just part of what makes Perficient a great place to work.    More About Perficient   Perficient is the leading digital transformation consulting firm serving Global 2000 and enterprise customers throughout North America. With unparalleled information technology, management consulting and creative capabilities, Perficient and its Perficient Digital agency deliver vision, execution and value with outstanding digital experience, business optimization and industry solutions.   Our work enables clients to improve productivity and competitiveness; grow and strengthen relationships with customers, suppliers and partners; and reduce costs.  Perficient's professionals serve clients from a network of offices across North America and offshore locations in India and China. Traded on the Nasdaq Global Select Market, Perficient is a member of the Russell 2000 index and the S&P SmallCap 600 index.   Perficient is an award-winning IBM Premier Business Partner, a Microsoft National Service Provider and Gold Certified Partner, an Oracle Platinum Partner, an Adobe Business Solution Partner, and a Salesforce Gold Consulting Partner.   Perficient is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national, origin, disability status, protected veteran status, or any other characteristic protected by law.   Disclaimer:   The above statements are not intended to be a complete statement of job content, rather to act as a guide to the essential functions performed by the employee assigned to this classification.  Management retains the discretion to add or change the duties of the position at any time.   ",1,,,,,,,
General/Other: Editorial/Writing,1,,,,,,,
General/Other: Production/OperationsSewing and Tailoring,1,,,,,,,
Military Combat,1,,,,,,,
"Government, Defence & Emergency",1,,,,,,,
"High school diploma or general education degree (GED) required; Associate or Bachelor’s degree preferred CPT and ICD-9 coding strongly preferred At least 1 year experience in the worker’s compensation arena including utilization review and/or telephonic case management strongly preferred Excellent interpersonal skills, phone etiquette and strong organizational skills are essential Excellent computer skills and working knowledge of Microsoft office programs such as Word and Excel Must be detail oriented, able to prioritize and use resources available and able to multi-task.",1,,,,,,,
Desktop Service and Support,1,,,,,,,
Administrative Support,1,,,,,,,
General/Other: Business/Strategic Management,1,,,,,,,
General/Other: Project/Program ManagementProject Management,1,,,,,,,
Market ResearchGeneral/Other: Marketing/ProductProduct Management,1,,,,,,,
Janitorial & Cleaning,1,,,,,,,
General/Other: Human ResourcesRecruiting/Sourcing,1,,,,,,,
General/Other: IT/Software DevelopmentSoftware/Web Development,1,,,,,,,
Veterinary/Animal Care,1,,,,,,,
Payroll and Benefits Administration,1,,,,,,,
"To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.   Bilingual (English/Spanish-speaking) skills are required. Diploma, Associate or bachelors degree in nursing or bachelors degree (or higher) in a health or human services related field required. Masters level and/or advanced study in a health-related field desired. Minimum of two (2) years full time equivalent of direct clinical care to consumers required. Case Management and/or Workers’ compensation-related experience strongly preferred. Registered nurse with current, valid state licensure required. Must be eligible to sit for CCM certification and must have a valid driver’s license. Experience in rehabilitation services industry, vocational/ occupational/ industrial nursing preferred. Background in state workers’ compensation law and practices desirable. In the case of an individual in a state that does not require licensure or certification, the individual must have a baccalaureate or graduate degree in social work, or another health or human services field that promotes the physical, psychosocial, and/or vocational well-being of the persons being served, that requires: A degree from an institution that is fully accredited by a nationally recognized educational accreditation organization; The individual must have completed a supervised field experience, in case management, health, or behavioral health as part of the degree requirements; and URAC-recognized certification in case management within four (4) years of hire as a case manager Pursue URAC-recognized certification in case management (CCM, CDMS, CRC, CRRN or COHN) upon eligibility. Excellent interpersonal skills and phone manners. Excellent organizational skills. Must be proficient in Microsoft Office suite with such programs as Word and Excel as well as have experience with internet searches and a comfort level with other software programs. Ability to set priorities and work independently is essential.",1,,,,,,,
Real Estate Leasing/Acquisition,1,,,,,,,
Corporate Accounting,1,,,,,,,
ISO CertificationProduction Quality Assurance,1,,,,,,,
Network and Server Administration,1,,,,,,,
Account Management (Non-Commissioned) General/Other: Customer Support/Client Care Retail Customer Service,1,,,,,,,
Software Quality Assurance,1,,,,,,,
Electrical/Electronics EngineeringIndustrial/Manufacturing EngineeringMechanical Engineering,1,,,,,,,
Food Safety and InspectionGeneral/Other: Quality Assurance/SafetyProduction Quality Assurance,1,,,,,,,
Food Safety and Inspection,1,,,,,,,
Shipping and Receiving/Warehousing,1,,,,,,,
Office Management,1,,,,,,,
Field SalesStore/Branch Management,1,,,,,,,
Call CenterGeneral/Other: Customer Support/Client Care,1,,,,,,,
Laboratory/PathologyNursingGeneral/Other: Medical/Health,1,,,,,,,
General/Other: Sales/Business DevelopmentRetail/Counter Sales and CashierStore/Branch Management,1,,,,,,,
"To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Diploma, A.S. degree or B.S. degree in nursing required. Advanced Degree preferred. Minimum of two (2) years full time equivalent of direct clinical care to consumers/clinical practice. Case Management and Workers’ compensation-related experience preferred. Registered nurse with current, valid state licensure required. In the case of an individual in a state that does not require licensure or certification, the individual must have a baccalaureate or graduate degree in social work, or another health or human services field that promotes the physical, psychosocial, and/or vocational well-being of the persons being served, that requires: 1) A degree from an institution that is fully accredited by a nationally recognized educational accreditation organization; 2) The individual must have completed a supervised field experience, in case management, health, or behavioral health as part of the degree requirements; and 3) URAC-recognized certification in case management within four (4) years of hire as a case manager Pursue URAC-recognized certification in case management (CCM, CDMS, CRC, CRRN or COHN) upon eligibility. Other state licenses/certification as required by law. Prior Case Management experience preferred. Excellent interpersonal skills and phone manners. Excellent organizational skills. Ability to set priorities. Ability to work independently and as part of a team. Computer literacy required.",1,,,,,,,
General/Other: Legal Paralegal & Legal Secretary,1,,,,,,,
"Bachelor's degree, preferrably in Marketing or Advertising 2+ years of experience in a corporation or at an agency, digital experience required Organized and detail oriented with the ability to manage multiple projects and quickly react to changing business needs while meeting firm deadlines Customer centric, brand steward  Strong communicator  Collaborative and flexible We offer a competitive salary, outstanding benefits package that includes medical, dental, vision. Life insurance, paid vacation and sick days, paid holidays, merchandise discounts, tuition reimbursement, profit sharing, and 401(k) with company match.   Qualified applicants will receive consideration for employment without regard to their race, color, religion, national origin, sex, or disability.   MONPOST    ",1,,,,,,,
General/Other: Medical/HealthVeterinary/Animal Care,1,,,,,,,
Call CenterReservations/TicketingRetail Customer Service,1,,,,,,,
General/Other: Project/Program ManagementProgram ManagementProject Management,1,,,,,,,
Real Estate Agent/BrokerRetail/Counter Sales and CashierStore/Branch Management,1,,,,,,,
Account Management (Commissioned)General/Other: Sales/Business Development,1,,,,,,,
Recruiting/Sourcing,1,,,,,,,
General/Other: Training/InstructionSchool/College AdministrationUniversity,1,,,,,,,
Patient Care Support/Nursing Assistant,1,,,,,,,
Systems Analysis - ITWeb/UI/UX Design,1,,,,,,,
Supplier Management/Vendor Management,1,,,,,,,
Business Development/New AccountsGeneral/Other: Sales/Business Development,1,,,,,,,
"Demonstrate the highest level of leadership and ethical standards, with a drive to uphold our “Culture of Can Do” Possess a passion for the beauty industry with the desire to constantly learn and then teach our store personnel and customers about our products Display strong organizational and planning skills with the ability to multi-task, problem-solve and act independently Self-starter with a drive to continuously learn and develop in career Must be 18 years of age or older Must have 3+ year(s) of retail sales/customer service experience Must have 1+ year(s) of managerial experience Licensed cosmetologist desirable but not required Work where we treat you and our customers as a priority-- Employee discount Free samples of many of our new products Opportunities to grow your career within the company On-going product knowledge programs and customer experience coaching Work in an  environment focused on and surrounded by beauty   Qualified applicants will receive consideration for employment without regard to their race, color, age, religion, nation origin, sex, sexual orientation, disability or other categories protected by law.   MONPOST  ",1,,,,,,,
Real Estate Agent/Broker,1,,,,,,,
Healthcare AidGeneral/Other: Medical/Health,1,,,,,,,
Computer/Electronics/Telecomm Install/Maintain/RepairEquipment Install/Maintain/RepairWire and Cable Install/Maintain/Repair,1,,,,,,,
Financial Analysis/Research/ReportingGeneral/Other: Accounting/Finance,1,,,,,,,
Production/Operations Planning,1,,,,,,,
Computer/Network SecurityNetwork and Server AdministrationSystems Analysis - IT,1,,,,,,,
Investor and Public/Media RelationsMarketing CommunicationsGeneral/Other: Marketing/Product,1,,,,,,,
General/Other: Project/Program ManagementProgram Management,1,,,,,,,
General/Other: Training/Instruction,1,,,,,,,
Market ResearchMarketing Production/Traffic,1,,,,,,,
Equipment Install/Maintain/RepairGeneral/Other: Installation/Maintenance/Repair,1,,,,,,,
Equipment Operations,1,,,,,,,
Business Unit ManagementGeneral/Other: Business/Strategic Management,1,,,,,,,
Occupational Health and Safety,1,,,,,,,
Operations/Plant Management,1,,,,,,,
Network and Server AdministrationSoftware/System ArchitectureSystems Analysis - IT,1,,,,,,,
Optical,1,,,,,,,
Accounts Payable/Receivable,1,,,,,,,
"Car, Van and Bus DrivingGeneral/Other: Logistics/TransportationTruck Driving",1,,,,,,,
Account Management (Commissioned)Insurance Agent/BrokerFinancial Products Sales/Brokerage,1,,,,,,,
Contracts AdministrationGeneral/Other: Legal,1,,,,,,,
Office ManagementGeneral/Other: Administrative/ClericalProperty Management,1,,,,,,,
General/Other: Logistics/TransportationPurchasing,1,,,,,,,
Database Development/AdministrationNetwork and Server Administration,1,,,,,,,
"Strong work ethic with a drive to exceed expectations Excellent people person: Work well with others in a fast paced, commission sales environment Open to learning and growing independently and from feedback Work well under high pressure with a positive attitude and contagious enthusiasm Detail oriented and highly organized Sense of Design: Able to distinguish and put together various styles, colors, and textures Associates Degree or higher, preferred not required Basic mathematical and computer skills Ability to read, write, and speak in English (a secondary language is a plus) Previous experience in retail or a related field preferred (home improvement, furniture, electronics, customer service, home furnishings, hospitality, flooring, sales, retail, etc.)   Benefits Great Pay and Exceptional Training Individual Career Growth Opportunities Holiday and Vacation Pay Medical, Dental, and Vision Insurance HSA Employer Contributions 401(k) Plan with employer matching Company Paid Basic Life Insurance and Accidental Death & Dismemberment Company Paid Long Term Disability   The Tile Shop is an Equal Opportunity Employer.     *CB",1,,,,,,,
Restaurant Management,1,,,,,,,
"Passionate coders with 5+ years of application development experience with PHP (Magento experience a strong plus). Knowledge of front-end programming toolsets (HTML5, CSS, Javascript) Proven experience in creating scalable, maintainable, and well documented eCommerce solutions based on PHP/Magento architectures Experience with the agile delivery process Experience working with offshore teams Client facing or consulting experience highly preferred. Skilled problem solvers with the desire and proven ability to create innovative solutions. Familiarity with relational database design and complex databases Flexible and adaptable attitude, disciplined to manage multiple responsibilities and adjust to varied environments. Future technology leaders- dynamic individuals energized by fast paced personal and professional growth. Phenomenal communicators who can explain and present concepts to technical and non-technical audiences alike, including high level decision makers. Bachelor’s Degree in MIS, Computer Science, Math, Engineering or comparable major. Solid foundation in Computer Science, with strong competencies in data structures, algorithms and software design. Knowledge and experience in developing software using agile methodologies. Proficient in authoring, editing and presenting technical documents. Ability to communicate effectively via multiple channels (verbal, written, etc.) with technical and non-technical staff. Perficient full-time employees receive complete and competitive benefits. We offer a collaborative work environment, competitive compensation, generous work/life opportunities and an outstanding benefits package that includes paid time off plus holidays. Encouraging a healthy work/life balance and providing our colleagues great benefits are just part of what makes Perficient a great place to work.    More About Perficient   Perficient is the leading digital transformation consulting firm serving Global 2000 and enterprise customers throughout North America. With unparalleled information technology, management consulting and creative capabilities, Perficient and its Perficient Digital agency deliver vision, execution and value with outstanding digital experience, business optimization and industry solutions.   Our work enables clients to improve productivity and competitiveness; grow and strengthen relationships with customers, suppliers and partners; and reduce costs.  Perficient's professionals serve clients from a network of offices across North America and offshore locations in India and China. Traded on the Nasdaq Global Select Market, Perficient is a member of the Russell 2000 index and the S&P SmallCap 600 index.   Perficient is an award-winning IBM Premier Business Partner, a Microsoft National Service Provider and Gold Certified Partner, an Oracle Platinum Partner, an Adobe Business Solution Partner, and a Salesforce Gold Consulting Partner.   Perficient is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national, origin, disability status, protected veteran status, or any other characteristic protected by law.   Disclaimer:   The above statements are not intended to be a complete statement of job content, rather to act as a guide to the essential functions performed by the employee assigned to this classification.  Management retains the discretion to add or change the duties of the position at any time. ",1,,,,,,,
