Title,Description,assistant,senior,associate,director,entry,executive,supervisor,sr,lead,trainee,leader,experienced,intern,president,owner,junior,principal,vice,jr,chief,student,vp,exec,supv,dir,executives,avp,associat,associa,supervisors,sup,supervising,seniors,principals,superviosr,execuitve
driver,driver for local residential pickups must know orlando area must navigate by map clean license a must earn 11 11 hr 40 45 hrs a week apply in person 6015 edgewater dr dfwp web os15132 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
auto sales,auto sales fountain auto mall sales professionals wanted fountain will pay top for sales professionals for our 5 lines of cars suv s pre owned up to 40 comm bnfts apply 8701 s obt orl 407 240 3800 ask for tom jacob web os23718 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
community thrift store,community thrift store is now hiring for the following full time positions ¢ pricer ¢sorter tagger ¢ production worker ¢ sales floor assistant ¢ cashier please apply in person to 5456 s orange ave or 6015 edgewater dr dfwp web os18812 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
administrative assistant,the administrative assistant must be reliable and professional with a positive attitude and ability to get along with different personalities on a daily basis responsible for providing administrative support to the office and assisting with assignments as needed would be answering phones filing clerical making inbound outbound calls required skills for receptionist admin assistant job microsoft office microsoft word microsoft excel filing clerical filing phone skills,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diesel truck mechanic,diesel truck mechanic full time diesel mechanic must have own tools sat sun 7 am 7 30 pm and mon tues 7 am 3 30 pm 3 days off during the week full benefit package after 90 days apply in person or fax resume to 352 429 8963 carroll fulmer logistics corp groveland we are proud to be an eeo aa employer web os19387 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
security ofc,security ofc d lic various locations shifts at select orange county facilities patrol access control 8 00p h www excelsiordefense com web os70809hiring d licensed officers for various locations shifts access control patrol for select orange county government facilities 8 00 per hour www excelsiordefense com source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hvac residential installers,hvac residential installers exp duct equipment installers for residential new construction apply within at energy air inc fax resume to 407 781 1643 or hr energyair com eoe dfwp web os24621 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
receptionist ma,receptionist ma exp bilingual med recep resp for phones med records checking pt s in out willing to travel pt ft fax res 407 290 1765 web os70863exp bilingual med recep resp for phones med records checking pt s in out willing to travel pt ft fax resume 407 290 1765 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
registered nurses,putnam community medical center the tide is changing set sail to excellence with putnam community medical center putnam community medical center a 99 bed acute care facility located in palatka fl is currently seeking qualified candidates for the following positions registered nurses ft pt and prn positions available a fl rn license and cpr certification required er icu ccu stepdown or pacu med surg i and ii cna ft medical coder ip coding physical therapist prn clinical dietitian prn microbiology tech prn cath lab rn two years of cath lab or critical care experience and a min of 500 hours of experience in an interventional lab w surgical back up required cardiac cath tech fl radiographer license or a graduate of a cardiopulmonary program and a min of 500 hours of experience in an open heart facility w pci program required arrt registered preferred case manager social worker fl rn license w lcsw licensure and previous acute care experience required please apply online at www pcmcfl com eoe aa source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nurse practitioner physician assistant,np or pa bi lingual for ambulatory primary care practice in kissimmee fax cv to 407 933 4422 or call 407 933 2690 web os26469 source orlando sentinel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inside sales day shift,inside sales day shift average 30 per hour phone sales experience a plus call now 407 792 9582 web os35848average 30 per hour phone sales experience a plus lake mary and downtown orlando location call now 407 407 792 9582 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
provider relations rep,provider relations rep amerigroup corporation is currently seeking a candidate who ideally lives in or around the lake orange or sumter county areas to serve as a liaison to providers and internal departments while establishing and maintaining positive and productive relationships with amerigroup network providers for the long term care program responsibilities include responding to inquiries from providers regarding benefits claim resolution appeal status and authorization or referral information and recruiting providers to ensure network access and service adequacy position requirements may be performed in the field or telephonically as appropriate please apply online to www amerigroup jobs com amerigroup corporation is an eoe drug free workplace m f v d web os18330 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medical reception billing,medical reception billing ft pt next gen software exp a plus fax resume 407 897 7473 407 897 7470 web os71110 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psychics,psychics gifted experienced psychics tarot readers and astrologers needed for busy line work from home and make great money for more info call 1 800 712 0333 or visit onesun com web os26306 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
se regional drivers,se regional drivers home weekly 2 yrs otr required 80 drop hook no force dispatch 401k insurance referral bonus call rbi 888 298 6928 x5 or apply at www rbitrucking com web os19829 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
timeshare professionals,grow reward live marriott vacations worldwide discover a destination for your success join us we re marriott vacations worldwide ready to grow your dream career while making others vacation dreams come true join us at marriott vacations worldwide and you can make it happen for over 27 years we ve been the world s premier organization for vacation ownership with resorts at sought after destinations around the globe if you re seeking a rewarding career with talented coworkers who support you in reaching your goals consider becoming part of our team at marriott vacations worldwide we ll provide you with the tools and rewards you need to meet every challenge join us and experience our commitment to excellence while redefining your future marriott s grande vista sales gallery is currently hiring experienced timeshare professionals coord marketing linkage bilingual spanish job 120005ol coord in house marketing job 12000bep start your journey nowby applying at www mvwcareers com click current openings non management positions in and outside the united states search by job number 120005ol or 12000bep once the job is displayed click apply please note the application is not complete until you reach the summary page and click submit marriott vacations worldwide is an equal opportunity employer committed to employing a diverse workforce and sustaining an inclusive culture source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medical assisting and medical billing coding instructors,daytona college is hiring medical assisting and medical billing coding instructors bachelors degree preferred and appropriate cma rma and cpc certifications required forward resume and salary history to faculty daytonacollege edu no phone calls please web os30007 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
head dental assistant,experienced dental assistant knowledge of insurances dentrix bilingual preferred busy brand new office near attractionsexperienced dental assistant knowledge of insurances dentrix bilingual preferred busy brand new office near attractions source orlando sentinel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hvac service tech,hvac service tech we need two experienced technicians for commercial and residential service refrigeration experience is also encouraged see job requirements below for a full list of qualifications call 407 696 9876 or email janine airtechcfl com or fax 407 478 3720 for your expertise we provide big company benefits with a small company atmosphere benefits include 1 well stocked company truck to take home 2 competitive hourly pay plus commissions and year end bonus 3 group health dental and vision 4 profit sharing plan 5 company paid training and certifications all of our technicians are nate certified 6 great support staff and working environment bring your positive attitude and knowledge and in return you ll find a great working environment and compensation worthy of your skills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maintenance manager,must have management experience in a hotel or resort must be hvac certified cpo certification a plus must be able to multi task and have good communication skills must have knowledge of all aspects of a resort or hotel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motivational speaker,are you a standup comedian actor public podium speaker with sensational speaking and interaction skills do you have an engaging personality now is the time to be paid for your skills and attributes 60 000 00 per year starting salary plus great medical and performance benefits orlando s 1 selling travel club has an immediate opening for an energetic and motivated speaker with a great schedule 8 00am 3 00pm no experience needed call today for an interview 407 401 9806 or send resume to salescareers calypsocay com web os22495 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lpn certified medical assistant,lpn certified medical assistant large physician ofc using electronic med record downtown orlando minimum 2 years back office exp exc benefits resume to fax 407 309 5433 or hrdirector nacfla com must indicate on resume if interested in full or part time position web os24631 source orlando sentinel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
legal secretary,legal secretary winderweedle haines ward woodman p a seeks an experienced commercial litigation secretary for the orlando office experience in the ecf filing system state and federal courts and creditor bankruptcy preferred the ideal candidate will be a self starter detail oriented have excellent oral and written communications skills and thrive in a fast paced professional environment whww offers a team atmosphere and competitive salary and benefits e mail resume to whwwjobs2 whww com or fax to 407 645 3728 href mailto whwwjobs2 whww com whwwjobs2 whww com web os22150 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
legal assistant,downtown orlando law firm hiring experienced legal assistant complex civil litigation experience preferred send salary requirements with resume and cover letter for immediate consideration competitive salary and benefits offered eoe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac positions foreman mech helper tech sales estimator,hvac positions 2 hvac mechanic lead 3 helpers apprentice 2 servicetech comm res call pipeline 352 385 0195 web os30035 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sales agents,wanted sales agents total marketing concepts inc one of inc 500 5000s fastest growing privately held companies is looking for sales agents who are motivated by making money and working with a stable growing company work on behalf of verizon wireless one of several major energy companies or as a political surveyor full time positions with excellent earning potential 700 1 000 wk prior sales experience in an outbound call center preferred but not necessary excellent computer skills a must visit www thetmcteam com for more details or call 407 562 3201 to schedule an interview eoe source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nursing staffing scheduler,nursing staffing scheduler ft opening for 120 skilled nursing and rehab must have previous exp with scheduling nursing staff and good understanding of regulatory requirements on staffing minimums candidate must be independent worker have excellent planning and organizational skills cna certification preferred but not required please apply in person or fax resume to 407 957 5319 southern oaks health care 3855 old canoe creek rd st cloud fl 34769 web os19956 source orlando sentinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
restaurant manager,restaurant manager ba208542 pusser s caribbean grille is seeking an experienced restaurant manager computer knowledge hiring and training staff a must benefits and competitive salary e mail resume mschwartz annapolismarriott com source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corporate safety director,corporate safety director g a f c wagman inc located in york pennsylvania is looking for a corporate safety director who can make positive contributions to our workplace safety the position will require a highly effective leader to develop and teach all aspects of construction safety throughout the wagman companies comprehensive knowledge of federal safety regulations and procedures is required qualified candidates must have a strong analytical approach with multi project management skills the position requires a bachelor of science degree various construction safety related training certifications osha 500 construction maintenance of traffic rigging and crane inspector certification and at least 5 years experience in the heavy and highway construction industry g a f c wagman inc was voted one of the best places to work in pennsylvania in 2011 interested candidates may apply at www wagman com or email wcmccrudden wagman com eeo aa web id ba203559 source baltimore sun,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sales marketing manager,sales marketing manager ba212627 annapolitan assisted living a premier award winning community in annapolis md is seeking a sales and marketing manager with a proven track record in senior living assisted living or rehab sales and marketing the successful candidate will have outstanding organizational communication and presentation skills the ability to develop and work with healthcare referral sources the ability to advance and close sales and good time management skills this position is predominately outside sales and marketing a very competitive salary and bonus program please send resumes to email address lemontree aol com eoe source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reception adminasst,reception adminasst ba18574 busy small columbia ofc seeking ft reception admin general people computer skills rqd email resume ref or inq s to kristin at cpe kdorganizer com source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
division chief for the environmental monitoring division,md environmental service is hiring a division chief for the environmental monitoring division this position will develop direct manage and prioritize the work plans for the environmental monitoring division which is responsible for providing comprehensive multi disciplinary services for the planning design construction site management operations and documentation of environmental projects and facilities for clients of the service technical areas include but are not limited to environmental regulatory sampling and reporting gis product development and management storm water management projects and energy projects the position will be responsible for initiating contact with potential clients preparing proposals when appropriate and negotiating contracts requirements bs in related field plus nine years of experience 5 of which must be supervisory in environmental engineering project management or related activities that include leading or directing the work of others and comprehensive knowledge of environmental practices regulatory issues and programs facility management safety geographic information systems education may not be substituted for experience please send an application to mes human resources attn 300176 259 najoles rd millersville md 21108 or email resumes menv com or fax 410 729 8235 web id ba207284 source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tractor trailer driver,driver ba214499 tractor trailer driver we currently have great opportunities for professional route drivers we can offer qualified candidates a full compensation package including ¢ hourly pay ¢ bc bs health insurance with a prescription drug card ¢ dental insurance ¢ life insurance policy ¢ 401 k with matching contributions ¢ vacation and holiday pay ¢ performance incentive bonus paid weekly after completing probationary period ¢ uniforms and more valid class a with tanker endorsement no hazmat is required apply in person with current copy of mvr to valley proteins 1515 open st baltimore md 21226 source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supervisor,supervisor ba213869 supervisor needed for gaming services overseeing all gaming activities within the state of md previous managerial experience is a must for more info please go to www gtech com source baltimore sun,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nurse,registered nurse school health ba213391 the anne arundel county department of health is seeking registered nurses to provide health services for students in anne arundel county public schools for the upcoming school year a current maryland rn license and two years of clinical experience is required a bsn is preferred ¢ full time positions ¢ no nights or weekends ¢ summers off follows the public school calendar ¢ health insurance and leave benefits ¢ deferred compensation plan for more information or to obtain an application please call 410 222 6838 or visit our website www aahealth org smoke free workplace eoe source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pta,pta ba214692 orthopedic and hand surgery associates physical therapy is a physician owned practice in the essex dundalk area we are looking for an energetic upbeat individual who is looking to help others in a busy clinic work with a pt with over 10 years of exp certified as a manual orthopedic physical therapist candidate must possess associates degree in accredited physical therapy assistant program a current pta license in maryland if interested please fax your resume to jeff or brenda at 410 288 7988 source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drivers,drivers megabus a coach usa company a leading public transportation company invited you to attend our job fairs tues april 10th 9am 5pm wed april 11th 9am 5pm thurs april 12th 9am 4pm 2320 beaver road landover md 20785 valid cdl with passenger and air brakes endorsements no moving violations in the last three years and a clean criminal background check must have at least 1 year bus driving experience must bring your mvr to register online or find out about other job fairs visit megasbus attnhr com jobfairs if unable to attend please apply in person at the address listed above eoe veteran friendly employer web id ba200348 source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
telemarketer,telemarketer ba223447 full time assertive b2b telemarketers wanted towson area call jill 410 828 4286 source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accounting,accounting grants consultant to 104 000 maryland state department of education msde the 1 ranked education program in the usa for the 4th straight year and winner of the race to the top rttt grant fiscal grants management managerial accounting opportunity available the candidate selected for this rttt contractual position will manage monitor track coordinate financial resources fund flows other fiscal aspects of the rttt grant including fund usage rates fiscal planning analysis tracking reporting assuring adherence to grant accountability requirements for more info visit our website at www marylandpublicschools org msde aboutmsde jobs msde is a state agency that develops administers education library rehabilitation programs is on the forefront of standards based reform of public education is committed to promoting maintaining a diverse workforce annual salary range to 104 000 qualifications bachelors from accredited four 4 year college or university coursework in accounting business administration economics finance or public administration pref cpa desired and five 5 years senior level accounting or financial management experience that includes federal grants management or budget preparation presentation execution governmental experience preferred ms excel data management software experience pref note masters or cpa may substitute for 1 yr of exp as defined to apply reference position rttt grant send fax 410 333 8950 resume to office of human resources 200 w baltimore street balto md 21201 applications resumes should be received by april 20 2012 aa eoe web id ba214181 source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
automotive service tech,automotive service tech ba219388 win kelly is seeking an experienced gm technician candidate must have gm dealership experience and be ase certified win kelly is a very busy service department that is a franchised dealer for chevrolet buick pontiac and gmc all under one roof located on the west side of columbia maryland we are experiencing phenomenal growth with increases of 20 two years in a row we offer top pay scales strong management support benefits excellent support staff apply today with lyle etzwiler at 443 535 8254 or e mail your resume to letzwiler winkelly com source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clinical database programmer,clinical database programmer full time position responsible for implementation maintenance of data management system for clinical trials conducted by the cooperative studies program coordinating center perry point md responsibilities create implement and execute procedures to build and maintain database set up for paper based and or web based edc clinical data management systems translate protocols into requirements for the clinical database and develop corresponding specifications for database programming data validation and data load export develop specifications test plans and scripts to support the functional testing of systems review case report forms develop data editing plan and write codes to perform data editing qualifications ba bs in computer science or information technology or related area with 1 to 3 years of database design maintenance experience clinical trial database experience a plus technical skills knowledge of c vb script net datafax sas sql essential skills excellent organizational oral and written communications skills excellent interpersonal team work aptitude demonstrated ability to interact with end users to define systems needs and requirements salary range 55 000 65 000 per yr fax resume to 410 642 1861 or e mail sandra kilby va gov web id ba212404 source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dental assistant,dental assistant ba208702 ft office located in westminster looking for a friendly dependable individual to join our team candidate must be expanded functions have experience and be x ray certified we offer a competitive salary plus benefits package fax resume to 410 876 5322 source baltimore sun,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network and computer systems administrators,network and computer systems administrators in annapolis md area analyze equipment performance for the lan network server operating systems configure monitor maintain email apps virus protection software implement admin maintain server h w systems s w apps s w and rel configs diagnose troubleshoot resolve h w s w or other network server problems replace defective components send res to mmodal systems and services inc 2661 riva road bldg 800 annapolis md 21401 source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
utility contractor,utility contractor ba213867 heavy underground utility contractor in the baltimore dc area is seeking a construction foreman to oversee large diameter water sewer utility installation cdl drivers are also needed eoe employer please send resume to constructiongroup att net source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
truck,truck driver ba212949 wanted class a cdl driver regional deliveries paid vacation and holidays 3 years experience call 443 865 5352 source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maintenance engineer,maintenance engineer located in baltimore md performs a variety of maintenance engineer functions at a commercial property this full time role offers a competitive salary with benefits ¢ requires a high school diploma ged general education development or equivalent ¢ boiler maintenance experience ¢ hvac experience this is a great opportunity in a fast moving environment may be required to work flexible schedule including over time nights weekend and on call to apply for this position and to learn more about our organization please visit our careers link at www forestcity net eoe m f v h drug free workplace web id ba214450 source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
program manager,environment program manager iv salary range 60 290 96 808 annually maryland department of the environment mde is seeking applicants to manage the operations of the maryland water quality financing administration that is responsible for administering the water quality revolving loan fund drinking water revolving loan fund the bay restoration fund loan grant funding programs for water quality drinking water capital infrastructure position oversees priority systems project selection grant applications operating capital budgets applicant credit analysis loan origination linked deposit bank loans m wbe compliance payment disbursements preparation of annual reports financial statements assist with policy matters issuance of revenue bonds incumbent supervises 5 div mgrs specialists reports to the wqfa director this is a management service appointment will serve at the pleasure of the appointing authority education experience bachelor s degree from an accredited college or university to include 30 credits in engineering biological environmental physical or earth sciences accounting finance or business administration or other related degree 5 yrs of exp supervising professional staff in an environmental field or exp as an environmental project mgr including assigning tasks setting priorities reviewing work products substitutions allowed please visit our website at www mde state md us for specific details mde does not sponsor new employees in application of the h 1b visa applicants must be legally authorized to work in the united states under the immigration reform control act possess any necessary documents to be hired in the position for which you apply please send cover letter resume 3 professional references reference announcement 12 5379 ms005 by april 27 2012 to louise connelly mde ohr montgomery park business center 1800 washington blvd suite 535 baltimore md 21230 mde participates in the e verify program is an equal employment opportunity employer web id ba223105 source baltimore sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plant engineering and maintenance supervisor,plant engineering and maintenance supervisor high steel structures inc a leading structural steel fabrication firm is seeking a plant engineering and maintenance supervisor for its lancaster pa facility the responsibilities of this position will include assisting in the direction and leadership of maintenance personnel and meeting maintenance requirements for buildings and equipment this includes pre planned and scheduled total productive maintenance tpm emergency maintenance overall equipment effectiveness oee equipment upgrades and new equipment installations qualified individuals will have a minimum of an associate degree in electrical electronics a bs mechanical or electrical engineering degree is preferred a valid driver s license is required this position requires extensive maintenance experience project supervision troubleshooting experience and supervisory leadership skills interested applicants are encouraged to apply online at www high net web id ba209907 source baltimore sun,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
